Árvore de Busca em Largura a partir do vértice 1000
vértice 450: pai = -1, nível = -1
vértice 451: pai = -1, nível = -1
vértice 452: pai = -1, nível = -1
vértice 453: pai = -1, nível = -1
vértice 454: pai = -1, nível = -1
vértice 455: pai = -1, nível = -1
vértice 456: pai = -1, nível = -1
vértice 457: pai = -1, nível = -1
vértice 458: pai = -1, nível = -1
vértice 459: pai = -1, nível = -1
vértice 460: pai = 461, nível = 11
vértice 461: pai = 47665, nível = 10
vértice 462: pai = 461, nível = 11
vértice 463: pai = -1, nível = -1
vértice 464: pai = -1, nível = -1
vértice 465: pai = -1, nível = -1
vértice 466: pai = -1, nível = -1
vértice 467: pai = -1, nível = -1
vértice 468: pai = 469, nível = 8
vértice 469: pai = 3691, nível = 7
vértice 470: pai = 469, nível = 8
vértice 471: pai = 469, nível = 8
vértice 472: pai = -1, nível = -1
vértice 473: pai = -1, nível = -1
vértice 474: pai = -1, nível = -1
vértice 475: pai = -1, nível = -1
vértice 476: pai = -1, nível = -1
vértice 477: pai = 36353, nível = 9
vértice 478: pai = -1, nível = -1
vértice 479: pai = -1, nível = -1
vértice 480: pai = -1, nível = -1
vértice 481: pai = -1, nível = -1
vértice 482: pai = 19587, nível = 10
vértice 483: pai = 19587, nível = 10
vértice 484: pai = -1, nível = -1
vértice 485: pai = -1, nível = -1
vértice 486: pai = -1, nível = -1
vértice 487: pai = -1, nível = -1
vértice 488: pai = 218, nível = 9
vértice 489: pai = -1, nível = -1
vértice 490: pai = -1, nível = -1
vértice 491: pai = -1, nível = -1
vértice 492: pai = -1, nível = -1
vértice 493: pai = -1, nível = -1
vértice 494: pai = -1, nível = -1
vértice 495: pai = -1, nível = -1
vértice 496: pai = -1, nível = -1
vértice 497: pai = -1, nível = -1
vértice 498: pai = 500, nível = 11
vértice 499: pai = 500, nível = 11
vértice 500: pai = 27438, nível = 10
vértice 501: pai = 500, nível = 11
vértice 502: pai = -1, nível = -1
vértice 503: pai = -1, nível = -1
vértice 504: pai = -1, nível = -1
vértice 505: pai = -1, nível = -1
vértice 506: pai = -1, nível = -1
vértice 507: pai = 2569, nível = 6
vértice 508: pai = 29754, nível = 10
vértice 509: pai = -1, nível = -1
vértice 510: pai = 511, nível = 12
vértice 511: pai = 22706, nível = 11
vértice 512: pai = 15546, nível = 10
vértice 513: pai = 512, nível = 11
vértice 514: pai = 22194, nível = 10
vértice 515: pai = -1, nível = -1
